hsn_code,description,gst_rate
(Except,"Ecaussine and other calcareous monumental or building stone alabaster [other than marble and travertine], other than mirror polished stone which is ready to use",0.05
-,"Supply of lottery by any person other than State Government, Union Territory or Local authority subject to the condition that the supply of such lottery has suffered appropriate central tax, State tax, Union territory tax or integrated tax, as the case may be, when supplied by State Government, Union Territory or local authority, as the case may be, to the lottery distributor or selling agent appointed by the State Government, Union
Territory or local authority, as the case may be.",0.0
-,"Supply of goods by a Government entity to Central Government, State Government, Union territory, local authority or any person specified by Central Government, State Government, Union territory or local authority, against consideration received from Central
Government, State Government, Union territory or local authority in the form of grants",0.0
/,"Judicial, Non-judicial stamp papers, Court fee stamps when sold by the Government Treasuries or Vendors
authorized by the Government",0.0
/,"Postal items, like envelope, Post card etc., sold by
Government",0.0
00,All goods,0.12
00,Handmade lace,0.05
00,"Hop cones, ground, powdered or in the form of pellets; lupulin",0.05
00,Live horses,0.12
00,"Wheat gluten, whether or not dried",0.05
00,"Odoriferous preparations which operate by burning [other than Agarbattis, lobhan,
dhoop batti, dhoop, sambhrani",0.12
00,"“Homogenised” or “reconstituted” tobacco, bearing a brand name",
00,"Products containing tobacco or nicotine
substitutes and intended for inhalation without combustion",0.28
00,"Products containing tobacco or reconstituted
tobacco and intended for inhalation without combustion",0.28
00,"Natural cork, debacked or roughly squared, or in rectangular (including square) blocks, plates, sheets or strip (including sharp-edged blanks for corks or stoppers)",0.12
00,"Fender, Hood, wrapper, Grill, Side Panel, Extension Plates, Fuel Tank and parts
thereof for tractors”",0.18
00,Hydraulic and its parts thereof for tractors,0.18
00,"Steering wheels and its parts thereof for
tractor",0.18
00,"Clutch assembly and its parts thereof for
tractors",0.18
00,"Silencer assembly for tractors and parts
thereof",0.18
00,"(i) Radiator assembly for tractors and parts thereof
(ii) Cooling system for tractor engine and parts thereof",0.18
00,"Road wheels and parts and accessories
thereof for tractors",0.18
00,Transaxles and its parts thereof for tractors,0.18
00,Gear boxes and parts thereof for tractors,0.18
00,"Brakes assembly and its parts thereof for
tractors",0.18
00,Greaseproof papers,0.12
00,"Toran, Doorway Decoration made from cotton
yarn or woollen yarn and aabhala (mirror) with or without hanging flaps",0.05
00,"Broomsticks [other than brooms consisting of twigs or other vegetable materials bound together, with or without
handles",0.05
00,"Hop cones, neither ground nor powdered nor in the form
of pellets",0.0
00,Aircraft seats,0.05
00,"Marble and travertine, crude or roughly trimmed",0.05
00,"Porphyry, basalt, sandstone and other monumental or building stone, whether or not roughly trimmed or merely
cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape.",0.05
00,"Mixes and doughs for the preparation of bread, pastry and
other baker's wares",0.05
00,Granite crude or roughly trimmed,0.05
00,"Liquefied Propane and Butane mixture, Liquefied Propane, Liquefied Butane and Liquefied Petroleum Gases (LPG) for supply to non- domestic exempted category (NDEC) customers by the Indian Oil Corporation Limited, Hindustan petroleum Corporation Limited or Bharat Petroleum Corporation Limited.",0.05
00,"Liquefied Propane and Butane mixture, Liquefied Propane, Liquefied Butane and Liquefied Petroleum Gases (LPG) for supply to household domestic consumers”;",0.05
00,"Agarbatti, lobhan, dhoop batti, dhoop, sambraani",0.05
00,"“Homogenised” or “reconstituted” tobacco,bearing a brand name",
00,"Waste, parings or scrap of rubber (other than hard rubber)",0.05
00,Parts of kerosene pressure lanterns including gas mantles,0.05
00,"New pneumatic tyres, of rubber of a kind used on aircraft",0.05
00,"Real zari thread (gold) and silver thread, combined with
textile thread",0.05
00,Slates,0.0
00,"Spacecraft (including satellites) and suborbital and
spacecraft launch vehicles",0.0
00,Earthen pot and clay lamps,0.0
00,Electrical energy,0.0
00,"Other made up textile articles, sets, of sale value not exceeding Rs. 1000 per piece",0.05
00,Walking-sticks including seat sticks,0.05
00,Aircraft engines,0.05
00,Tyre for tractors,0.18
00,"Tobacco refuse, bearing a brand name",
00,"Monopods, bipods, tripods and similar
articles",0.18
00,"Rusks, toasted bread and similar toasted products",0.05
00,Hand sieves and hand riddles,0.18
00,Bricks of fossil meals or similar siliceous earths,0.12
00,"Extracts, essences and concentrates of coffee, and preparations with a basis of these extracts, essences or concentrates or
with a basis of coffee",0.18
00,"Glycerol, crude; glycerol waters and
glycerol lyes",0.18
00,Building bricks,0.12
00,"Ice cream and other edible ice, whether or
not containing cocoa",0.18
